               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027251,            0.010778,          0.00056252,             0.90892,             0.95487,             0.96431,             0.55958,            0.030127,           0.0060085,           0.0019815,             0.00307,             0.00307,             0.00307
                  37,             0.02702,            0.010594,          0.00067918,             0.91282,             0.95299,             0.96099,             0.56322,            0.029293,           0.0060386,           0.0020242,            0.002872,            0.002872,            0.002872
                  38,            0.027156,            0.010793,          0.00073676,             0.91981,              0.9332,             0.94681,             0.53133,            0.030571,           0.0060293,           0.0025475,            0.002674,            0.002674,            0.002674
                  39,            0.026647,            0.010181,          0.00059008,             0.90177,             0.91886,             0.93974,             0.54976,            0.029729,            0.005971,           0.0023271,            0.002476,            0.002476,            0.002476
                  40,            0.026122,             0.01048,          0.00066485,              0.9118,             0.88119,             0.93916,              0.5536,            0.030664,           0.0060524,           0.0028689,            0.002278,            0.002278,            0.002278
                  41,            0.026438,            0.011009,          0.00058042,             0.92233,             0.94995,              0.9563,             0.55356,            0.030125,           0.0059217,           0.0021146,             0.00208,             0.00208,             0.00208
                  42,            0.026365,            0.010278,          0.00060112,             0.91918,             0.93924,             0.96576,             0.56807,            0.030257,           0.0059652,           0.0021954,            0.001882,            0.001882,            0.001882
                  43,            0.025332,            0.010353,          0.00059631,             0.92364,             0.92675,             0.95409,             0.55752,            0.029681,           0.0060329,           0.0027269,            0.001684,            0.001684,            0.001684
                  44,            0.025556,            0.010232,          0.00060589,             0.94284,             0.91686,             0.96278,             0.56824,            0.030022,           0.0060451,           0.0023853,            0.001486,            0.001486,            0.001486
                  45,            0.024518,           0.0099725,          0.00043185,             0.93842,             0.91801,             0.95887,             0.55424,            0.029675,           0.0059976,            0.002357,            0.001288,            0.001288,            0.001288
                  46,            0.025097,           0.0097449,          0.00061452,             0.94076,             0.91596,             0.95844,              0.5622,            0.030719,           0.0060238,           0.0027626,             0.00109,             0.00109,             0.00109
                  47,            0.024334,            0.010161,          0.00040937,             0.93015,             0.91595,             0.96416,             0.55763,            0.029783,           0.0060907,           0.0028561,            0.000892,            0.000892,            0.000892
                  48,            0.024466,           0.0095536,          0.00056833,             0.93467,             0.91769,             0.96673,             0.56792,             0.02989,           0.0060673,           0.0029791,            0.000694,            0.000694,            0.000694
                  49,            0.023669,           0.0096564,           0.0005233,             0.93449,             0.91736,             0.96699,             0.56482,            0.029934,           0.0060366,           0.0030448,            0.000496,            0.000496,            0.000496
